来源,食谱,原料,原料类别,类型,营养状态,营养状态名,当前制备方法,问题数,最高严重度,问题类型,说明,建议修法
设计器草稿,来福 的鲜食食谱 08/06,秋葵,蔬菜类及制品,FOOD,RAW,生,生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,来福 的鲜食食谱 08/06,红甜椒,蔬菜类及制品,FOOD,RAW,生,去瓤、生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,柠檬茶 的鲜食食谱 09/06,小米,谷类及制品,FOOD,RAW,生,生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,柠檬茶 的鲜食食谱 09/06,南瓜,蔬菜类及制品,FOOD,RAW,生,去皮、去瓤、生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,柠檬茶 的鲜食食谱 09/06,红甜椒,蔬菜类及制品,FOOD,RAW,生,去瓤、生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,柠檬茶 的鲜食食谱 09/09,小米,谷类及制品,FOOD,RAW,生,生重、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,柠檬茶 的鲜食食谱 09/09,南瓜,蔬菜类及制品,FOOD,RAW,生,去皮、去瓤、生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,桑迪 的鲜食食谱 07/25,胡萝卜,蔬菜类及制品,FOOD,RAW,生,生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,桑迪 的鲜食食谱 07/25,秋葵,蔬菜类及制品,FOOD,RAW,生,生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,桑迪 的鲜食食谱 07/25,紫甘蓝,蔬菜类及制品,FOOD,RAW,生,生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,灿灿 的鲜食食谱 08/17,糙米,谷类及制品,FOOD,COOKED,熟,煮熟后称重、打碎、充分搅拌,2,中,A3 熟档案未写口径 + A4 同原料口径不一致,没写按生重还是熟重称量；该原料在不同食谱里既写过生重又写过熟重,补「熟重」；统一口径
设计器草稿,灿灿 的鲜食食谱 08/17,南瓜,蔬菜类及制品,FOOD,RAW,生,去皮、去瓤、生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,灿灿 的鲜食食谱 08/17,亚麻籽,坚果种子类,FOOD,DRIED,干,打粉后充分搅拌,1,中,B5 非标准词,自由文本：打粉后充分搅拌,归入受控词表或补进字典
设计器草稿,燕麦三文鱼猪肉,南瓜,蔬菜类及制品,FOOD,RAW,生,去皮、去瓤、生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,燕麦三文鱼猪肉,南瓜,蔬菜类及制品,FOOD,RAW,生,去皮、去瓤、生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,燕麦三文鱼猪肉,南瓜,蔬菜类及制品,FOOD,RAW,生,去皮、去瓤、生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,燕麦三文鱼猪肉,南瓜,蔬菜类及制品,FOOD,RAW,生,去皮、去瓤、生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,燕麦三文鱼猪肉,南瓜,蔬菜类及制品,FOOD,RAW,生,去皮、去瓤、生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,燕麦三文鱼猪肉,红甜椒,蔬菜类及制品,FOOD,RAW,生,去瓤、生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,燕麦三文鱼猪肉,红甜椒,蔬菜类及制品,FOOD,RAW,生,去瓤、生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,燕麦三文鱼猪肉,红甜椒,蔬菜类及制品,FOOD,RAW,生,去瓤、生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,燕麦三文鱼猪肉,红甜椒,蔬菜类及制品,FOOD,RAW,生,去瓤、生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,燕麦三文鱼猪肉,红甜椒,蔬菜类及制品,FOOD,RAW,生,去瓤、生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,燕麦山药牛肉饭,山药,薯类及制品,FOOD,RAW,生,去皮、生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,燕麦山药牛肉饭,山药,薯类及制品,FOOD,RAW,生,去皮、生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,燕麦山药牛肉饭,山药,薯类及制品,FOOD,RAW,生,去皮、生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,燕麦山药牛肉饭,山药,薯类及制品,FOOD,RAW,生,去皮、生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,燕麦山药牛肉饭,山药,薯类及制品,FOOD,RAW,生,去皮、生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,燕麦山药牛肉饭,紫甘蓝,蔬菜类及制品,FOOD,RAW,生,生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,燕麦山药牛肉饭,紫甘蓝,蔬菜类及制品,FOOD,RAW,生,生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,燕麦山药牛肉饭,紫甘蓝,蔬菜类及制品,FOOD,RAW,生,生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,燕麦山药牛肉饭,紫甘蓝,蔬菜类及制品,FOOD,RAW,生,生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,燕麦山药牛肉饭,紫甘蓝,蔬菜类及制品,FOOD,RAW,生,生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,燕麦山药牛肉饭,秋葵,蔬菜类及制品,FOOD,RAW,生,生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,燕麦山药牛肉饭,秋葵,蔬菜类及制品,FOOD,RAW,生,生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,燕麦山药牛肉饭,秋葵,蔬菜类及制品,FOOD,RAW,生,生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,燕麦山药牛肉饭,秋葵,蔬菜类及制品,FOOD,RAW,生,生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,燕麦山药牛肉饭,秋葵,蔬菜类及制品,FOOD,RAW,生,生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,燕麦米比目鱼鸭肉,南瓜,蔬菜类及制品,FOOD,COOKED,熟,去皮、去瓤、煮熟后称重、打碎、充分搅拌,2,中,A3 熟档案未写口径 + A4 同原料口径不一致,没写按生重还是熟重称量；该原料在不同食谱里既写过生重又写过熟重,补「熟重」；统一口径
设计器草稿,燕麦米比目鱼鸭肉,西葫芦,蔬菜类及制品,FOOD,COOKED,熟,煮熟后称重、打碎、充分搅拌,1,中,A3 熟档案未写口径,没写按生重还是熟重称量,补「熟重」
设计器草稿,燕麦米青花鱼鸭肉,南瓜,蔬菜类及制品,FOOD,COOKED,熟,去皮、去瓤、煮熟后称重、打碎、充分搅拌,2,中,A3 熟档案未写口径 + A4 同原料口径不一致,没写按生重还是熟重称量；该原料在不同食谱里既写过生重又写过熟重,补「熟重」；统一口径
设计器草稿,燕麦米青花鱼鸭肉,南瓜,蔬菜类及制品,FOOD,COOKED,熟,去皮、去瓤、煮熟后称重、打碎、充分搅拌,2,中,A3 熟档案未写口径 + A4 同原料口径不一致,没写按生重还是熟重称量；该原料在不同食谱里既写过生重又写过熟重,补「熟重」；统一口径
设计器草稿,燕麦米青花鱼鸭肉,南瓜,蔬菜类及制品,FOOD,COOKED,熟,去皮、去瓤、煮熟后称重、打碎、充分搅拌,2,中,A3 熟档案未写口径 + A4 同原料口径不一致,没写按生重还是熟重称量；该原料在不同食谱里既写过生重又写过熟重,补「熟重」；统一口径
设计器草稿,燕麦米青花鱼鸭肉,西葫芦,蔬菜类及制品,FOOD,COOKED,熟,煮熟后称重、打碎、充分搅拌,1,中,A3 熟档案未写口径,没写按生重还是熟重称量,补「熟重」
设计器草稿,燕麦米青花鱼鸭肉,西葫芦,蔬菜类及制品,FOOD,COOKED,熟,煮熟后称重、打碎、充分搅拌,1,中,A3 熟档案未写口径,没写按生重还是熟重称量,补「熟重」
设计器草稿,燕麦米青花鱼鸭肉,西葫芦,蔬菜类及制品,FOOD,COOKED,熟,煮熟后称重、打碎、充分搅拌,1,中,A3 熟档案未写口径,没写按生重还是熟重称量,补「熟重」
设计器草稿,燕麦米青花鱼鸭肉(财宝),南瓜,蔬菜类及制品,FOOD,COOKED,熟,去皮、去瓤、煮熟后称重、打碎、充分搅拌,2,中,A3 熟档案未写口径 + A4 同原料口径不一致,没写按生重还是熟重称量；该原料在不同食谱里既写过生重又写过熟重,补「熟重」；统一口径
设计器草稿,燕麦米青花鱼鸭肉(财宝),南瓜,蔬菜类及制品,FOOD,COOKED,熟,去皮、去瓤、煮熟后称重、打碎、充分搅拌,2,中,A3 熟档案未写口径 + A4 同原料口径不一致,没写按生重还是熟重称量；该原料在不同食谱里既写过生重又写过熟重,补「熟重」；统一口径
设计器草稿,燕麦米青花鱼鸭肉(财宝),西葫芦,蔬菜类及制品,FOOD,COOKED,熟,煮熟后称重、打碎、充分搅拌,1,中,A3 熟档案未写口径,没写按生重还是熟重称量,补「熟重」
设计器草稿,燕麦米青花鱼鸭肉(财宝),西葫芦,蔬菜类及制品,FOOD,COOKED,熟,煮熟后称重、打碎、充分搅拌,1,中,A3 熟档案未写口径,没写按生重还是熟重称量,补「熟重」
设计器草稿,燕麦鳕鱼猪肉,红薯,薯类及制品,FOOD,RAW,生,去皮、生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,燕麦鳕鱼猪肉,大米,谷类及制品,FOOD,COOKED,熟,煮熟后称重、打碎、充分搅拌,1,中,A3 熟档案未写口径,没写按生重还是熟重称量,补「熟重」
设计器草稿,燕麦鳕鱼猪肉,大米,谷类及制品,FOOD,COOKED,熟,煮熟后称重、打碎、充分搅拌,1,中,A3 熟档案未写口径,没写按生重还是熟重称量,补「熟重」
设计器草稿,燕麦鳕鱼猪肉,大米,谷类及制品,FOOD,COOKED,熟,煮熟后称重、打碎、充分搅拌,1,中,A3 熟档案未写口径,没写按生重还是熟重称量,补「熟重」
设计器草稿,燕麦鳕鱼猪肉,红薯,薯类及制品,FOOD,RAW,生,去皮、生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,燕麦鳕鱼猪肉,红薯,薯类及制品,FOOD,RAW,生,去皮、生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,燕麦鳕鱼猪肉,大米,谷类及制品,FOOD,COOKED,熟,煮熟后称重、打碎、充分搅拌,1,中,A3 熟档案未写口径,没写按生重还是熟重称量,补「熟重」
设计器草稿,燕麦鳕鱼猪肉,大米,谷类及制品,FOOD,COOKED,熟,煮熟后称重、打碎、充分搅拌,1,中,A3 熟档案未写口径,没写按生重还是熟重称量,补「熟重」
设计器草稿,燕麦鳕鱼猪肉,大米,谷类及制品,FOOD,COOKED,熟,煮熟后称重、打碎、充分搅拌,1,中,A3 熟档案未写口径,没写按生重还是熟重称量,补「熟重」
设计器草稿,燕麦鳕鱼猪肉,西兰花,蔬菜类及制品,FOOD,RAW,生,生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,燕麦鳕鱼猪肉,西兰花,蔬菜类及制品,FOOD,RAW,生,生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,燕麦鳕鱼猪肉,西兰花,蔬菜类及制品,FOOD,RAW,生,生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,燕麦鳕鱼猪肉,红甜椒,蔬菜类及制品,FOOD,RAW,生,去瓤、生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,燕麦鳕鱼猪肉,红甜椒,蔬菜类及制品,FOOD,RAW,生,去瓤、生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,燕麦鳕鱼猪肉,红甜椒,蔬菜类及制品,FOOD,RAW,生,去瓤、生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,燕麦鳕鱼猪肉,红甜椒,蔬菜类及制品,FOOD,RAW,生,去瓤、生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,燕麦鳕鱼猪肉,红甜椒,蔬菜类及制品,FOOD,RAW,生,去瓤、生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,燕麦鳕鱼猪肉,红甜椒,蔬菜类及制品,FOOD,RAW,生,去瓤、生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,牛牛定制食谱,西兰花,蔬菜类及制品,FOOD,COOKED,熟,打碎、静置30分钟、焯水沥干、称重、充分搅拌,3,中,B5 非标准词 + A3 熟档案未写口径 + A4 同原料口径不一致,自由文本：焯水沥干 / 称重；没写按生重还是熟重称量；该原料在不同食谱里既写过生重又写过熟重,归入受控词表或补进字典；补「熟重」；统一口径
设计器草稿,牛牛定制食谱,大米,谷类及制品,FOOD,COOKED,熟,煮熟后称重、打碎、充分搅拌,1,中,A3 熟档案未写口径,没写按生重还是熟重称量,补「熟重」
设计器草稿,牛牛定制食谱,大米,谷类及制品,FOOD,COOKED,熟,煮熟后称重、打碎、充分搅拌,1,中,A3 熟档案未写口径,没写按生重还是熟重称量,补「熟重」
设计器草稿,牛牛定制食谱,西兰花,蔬菜类及制品,FOOD,COOKED,熟,打碎、静置30分钟、焯水沥干、称重、充分搅拌,3,中,B5 非标准词 + A3 熟档案未写口径 + A4 同原料口径不一致,自由文本：焯水沥干 / 称重；没写按生重还是熟重称量；该原料在不同食谱里既写过生重又写过熟重,归入受控词表或补进字典；补「熟重」；统一口径
设计器草稿,牛牛定制食谱,胡萝卜,蔬菜类及制品,FOOD,COOKED,熟,煮熟后称重、打碎、充分搅拌,2,中,A3 熟档案未写口径 + A4 同原料口径不一致,没写按生重还是熟重称量；该原料在不同食谱里既写过生重又写过熟重,补「熟重」；统一口径
设计器草稿,牛牛定制食谱,西兰花,蔬菜类及制品,FOOD,COOKED,熟,打碎、静置30分钟、焯水沥干、称重、充分搅拌,3,中,B5 非标准词 + A3 熟档案未写口径 + A4 同原料口径不一致,自由文本：焯水沥干 / 称重；没写按生重还是熟重称量；该原料在不同食谱里既写过生重又写过熟重,归入受控词表或补进字典；补「熟重」；统一口径
设计器草稿,牛牛定制食谱,胡萝卜,蔬菜类及制品,FOOD,COOKED,熟,煮熟后称重、打碎、充分搅拌,2,中,A3 熟档案未写口径 + A4 同原料口径不一致,没写按生重还是熟重称量；该原料在不同食谱里既写过生重又写过熟重,补「熟重」；统一口径
设计器草稿,牛牛定制食谱,南瓜,蔬菜类及制品,FOOD,COOKED,熟,去皮、去瓤、煮熟后称重、打碎、充分搅拌,2,中,A3 熟档案未写口径 + A4 同原料口径不一致,没写按生重还是熟重称量；该原料在不同食谱里既写过生重又写过熟重,补「熟重」；统一口径
设计器草稿,牛牛定制食谱,胡萝卜,蔬菜类及制品,FOOD,COOKED,熟,煮熟后称重、打碎、充分搅拌,2,中,A3 熟档案未写口径 + A4 同原料口径不一致,没写按生重还是熟重称量；该原料在不同食谱里既写过生重又写过熟重,补「熟重」；统一口径
设计器草稿,牛牛的定制食谱（兔）20260914,红薯,薯类及制品,FOOD,COOKED,熟,去皮、煮熟后称重、打碎、充分搅拌,2,中,A3 熟档案未写口径 + A4 同原料口径不一致,没写按生重还是熟重称量；该原料在不同食谱里既写过生重又写过熟重,补「熟重」；统一口径
设计器草稿,牛牛的定制食谱（兔）20260914,红薯,薯类及制品,FOOD,COOKED,熟,去皮、煮熟后称重、打碎、充分搅拌,2,中,A3 熟档案未写口径 + A4 同原料口径不一致,没写按生重还是熟重称量；该原料在不同食谱里既写过生重又写过熟重,补「熟重」；统一口径
设计器草稿,牛牛的定制食谱（兔）20260914,四季豆,蔬菜类及制品,FOOD,COOKED,熟,煮熟后沥水称重、打碎后充分搅拌,2,中,B5 非标准词 + A3 熟档案未写口径,自由文本：煮熟后沥水称重 / 打碎后充分搅拌；没写按生重还是熟重称量,归入受控词表或补进字典；补「熟重」
设计器草稿,牛牛的定制食谱（兔）20260914,四季豆,蔬菜类及制品,FOOD,COOKED,熟,煮熟后沥水称重、打碎后充分搅拌,2,中,B5 非标准词 + A3 熟档案未写口径,自由文本：煮熟后沥水称重 / 打碎后充分搅拌；没写按生重还是熟重称量,归入受控词表或补进字典；补「熟重」
设计器草稿,牛牛的定制食谱（鸭）20260914,糙米,谷类及制品,FOOD,COOKED,熟,煮熟后称重、打碎、充分搅拌,2,中,A3 熟档案未写口径 + A4 同原料口径不一致,没写按生重还是熟重称量；该原料在不同食谱里既写过生重又写过熟重,补「熟重」；统一口径
设计器草稿,牛牛的定制食谱（鸭）20260914,糙米,谷类及制品,FOOD,COOKED,熟,煮熟后称重、打碎、充分搅拌,2,中,A3 熟档案未写口径 + A4 同原料口径不一致,没写按生重还是熟重称量；该原料在不同食谱里既写过生重又写过熟重,补「熟重」；统一口径
设计器草稿,牛牛的定制食谱（鸭）20260914,花椰菜,蔬菜类及制品,FOOD,COOKED,熟,去老梗、焯水后称重、打碎、充分搅拌,2,中,B5 非标准词 + A3 熟档案未写口径,自由文本：焯水后称重；没写按生重还是熟重称量,归入受控词表或补进字典；补「熟重」
设计器草稿,牛牛的定制食谱（鸭）20260914,花椰菜,蔬菜类及制品,FOOD,COOKED,熟,去老梗、焯水后称重、打碎、充分搅拌,2,中,B5 非标准词 + A3 熟档案未写口径,自由文本：焯水后称重；没写按生重还是熟重称量,归入受控词表或补进字典；补「熟重」
设计器草稿,牛肉食谱,燕麦,谷类及制品,FOOD,DRIED,干,无添加即食燕麦、打碎、充分搅拌,2,中,B6 商品属性写进步骤 + B5 非标准词,这些片段不是厨房动作，而是商品属性：无添加即食燕麦；自由文本：无添加即食燕麦,移到原料规格/备注，不放在制备说明；归入受控词表或补进字典
设计器草稿,犇犇 的鲜食食谱 08/03,胡萝卜,蔬菜类及制品,FOOD,RAW,生,去皮、生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,犇犇 的鲜食食谱 08/03,西兰花,蔬菜类及制品,FOOD,RAW,生,生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,猪里脊青花鱼藜麦小米,藜麦,谷类及制品,FOOD,RAW,生,生重、打粉、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,猪里脊青花鱼藜麦小米,藜麦,谷类及制品,FOOD,RAW,生,生重、打粉、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,猪里脊青花鱼藜麦小米,藜麦,谷类及制品,FOOD,RAW,生,生重、打粉、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,猪里脊青花鱼藜麦小米,藜麦,谷类及制品,FOOD,RAW,生,生重、打粉、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,猪里脊青花鱼藜麦小米,藜麦,谷类及制品,FOOD,RAW,生,生重、打粉、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,猪里脊青花鱼藜麦小米,胡萝卜,蔬菜类及制品,FOOD,RAW,生,生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,猪里脊青花鱼藜麦小米,胡萝卜,蔬菜类及制品,FOOD,RAW,生,生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,猪里脊青花鱼藜麦小米,胡萝卜,蔬菜类及制品,FOOD,RAW,生,生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,猪里脊青花鱼藜麦小米,胡萝卜,蔬菜类及制品,FOOD,RAW,生,生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,猪里脊青花鱼藜麦小米,胡萝卜,蔬菜类及制品,FOOD,RAW,生,生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,猪里脊青花鱼藜麦小米,菠菜,蔬菜类及制品,FOOD,RAW,生,焯水、沥干后称重、打碎、充分搅拌,1,中,A2b 生档案却写熟制步骤,档案用生数据，步骤却含焯水/蒸煮,确认是口径写错还是档案选错
设计器草稿,猪里脊青花鱼藜麦小米,菠菜,蔬菜类及制品,FOOD,RAW,生,焯水、沥干后称重、打碎、充分搅拌,1,中,A2b 生档案却写熟制步骤,档案用生数据，步骤却含焯水/蒸煮,确认是口径写错还是档案选错
设计器草稿,猪里脊青花鱼藜麦小米,菠菜,蔬菜类及制品,FOOD,RAW,生,焯水、沥干后称重、打碎、充分搅拌,1,中,A2b 生档案却写熟制步骤,档案用生数据，步骤却含焯水/蒸煮,确认是口径写错还是档案选错
设计器草稿,猪里脊青花鱼藜麦小米,菠菜,蔬菜类及制品,FOOD,RAW,生,焯水、沥干后称重、打碎、充分搅拌,1,中,A2b 生档案却写熟制步骤,档案用生数据，步骤却含焯水/蒸煮,确认是口径写错还是档案选错
设计器草稿,猪里脊青花鱼藜麦小米,菠菜,蔬菜类及制品,FOOD,RAW,生,焯水、沥干后称重、打碎、充分搅拌,1,中,A2b 生档案却写熟制步骤,档案用生数据，步骤却含焯水/蒸煮,确认是口径写错还是档案选错
设计器草稿,猪里脊青花鱼藜麦小米,亚麻籽,坚果种子类,FOOD,DRIED,干,打粉后充分搅拌,1,中,B5 非标准词,自由文本：打粉后充分搅拌,归入受控词表或补进字典
设计器草稿,猪里脊青花鱼藜麦小米,亚麻籽,坚果种子类,FOOD,DRIED,干,打粉后充分搅拌,1,中,B5 非标准词,自由文本：打粉后充分搅拌,归入受控词表或补进字典
设计器草稿,猪里脊青花鱼藜麦小米,亚麻籽,坚果种子类,FOOD,DRIED,干,打粉后充分搅拌,1,中,B5 非标准词,自由文本：打粉后充分搅拌,归入受控词表或补进字典
设计器草稿,猪里脊青花鱼藜麦小米,亚麻籽,坚果种子类,FOOD,DRIED,干,打粉后充分搅拌,1,中,B5 非标准词,自由文本：打粉后充分搅拌,归入受控词表或补进字典
设计器草稿,猪里脊青花鱼藜麦小米,亚麻籽,坚果种子类,FOOD,DRIED,干,打粉后充分搅拌,1,中,B5 非标准词,自由文本：打粉后充分搅拌,归入受控词表或补进字典
设计器草稿,王小力 的鲜食食谱 08/26,红甜椒,蔬菜类及制品,FOOD,RAW,生,去瓤、生重、打碎、充分搅拌,1,中,A4 同原料口径不一致,该原料在不同食谱里既写过生重又写过熟重,统一口径
设计器草稿,百万 的鲜食食谱 07/28,南瓜,蔬菜类及制品,FOOD,COOKED,熟,去皮、去瓤、煮熟后称重、打碎、充分搅拌,2,中,A3 熟档案未写口径 + A4 同原料口径不一致,没写按生重还是熟重称量；该原料在不同食谱里既写过生重又写过熟重,补「熟重」；统一口径
设计器草稿,百万 的鲜食食谱 07/28,西兰花,蔬菜类及制品,FOOD,COOKED,熟,打碎、静置30分钟、焯水沥干、称重、充分搅拌,3,中,B5 非标准词 + A3 熟档案未写口径 + A4 同原料口径不一致,自由文本：焯水沥干 / 称重；没写按生重还是熟重称量；该原料在不同食谱里既写过生重又写过熟重,归入受控词表或补进字典；补「熟重」；统一口径
设计器草稿,百万 的鲜食食谱 07/28,红甜椒,蔬菜类及制品,FOOD,COOKED,熟,去籽、煮熟后称重、打碎、充分搅拌,3,中,B5 非标准词 + A3 熟档案未写口径 + A4 同原料口径不一致,自由文本：去籽；没写按生重还是熟重称量；该原料在不同食谱里既写过生重又写过熟重,归入受控词表或补进字典；补「熟重」；统一口径
设计器草稿,秋菊 的鲜食食谱 06/28,亚麻籽,坚果种子类,FOOD,DRIED,干,打粉后充分搅拌,1,中,B5 非标准词,自由文本：打粉后充分搅拌,归入受控词表或补进字典
设计器草稿,秋菊 的鲜食食谱 07/26,亚麻籽,坚果种子类,FOOD,DRIED,干,打粉后充分搅拌,1,中,B5 非标准词,自由文本：打粉后充分搅拌,归入受控词表或补进字典
设计器草稿,秋菊 的鲜食食谱 08/02,亚麻籽,坚果种子类,FOOD,DRIED,干,打粉后充分搅拌,1,中,B5 非标准词,自由文本：打粉后充分搅拌,归入受控词表或补进字典
设计器草稿,秋菊 的鲜食食谱 09/06,亚麻籽,坚果种子类,FOOD,DRIED,干,打粉后充分搅拌,1,中,B5 非标准词,自由文本：打粉后充分搅拌,归入受控词表或补进字典
设计器草稿,秋葵藜麦米牛肉鸡胸,大米,谷类及制品,FOOD,COOKED,熟,煮熟后称重、打碎、充分搅拌,1,中,A3 熟档案未写口径,没写按生重还是熟重称量,补「熟重」
